time,q_0,q_1,q_2,q_3,q_4,q_5,tcp_0,tcp_1,tcp_2,extra__pc_ts
0.0,-3.04344732,-1.52831037,1.3068145,4.98087494,3.94171906,0.64534569,0.488005982,0.113093553,0.596581448,0.0
0.0,-3.04344732,-1.52831037,1.3068145,4.98087494,3.94171906,0.64534569,0.488005982,0.113093553,0.596581448,0.0
0.0,-3.05183965,-1.52810026,1.30551035,4.97416668,3.9456687,0.64532483,0.489483845,0.109327338,0.597476258,0.0
0.0,-3.06020695,-1.52794107,1.30425912,4.96774827,3.94955039,0.6453619,0.490885409,0.105549058,0.598352871,0.0
0.0,-3.06854827,-1.52775658,1.30290729,4.96119766,3.95338988,0.6453619,0.492273221,0.101767085,0.599286113,0.0
0.0,-3.07693321,-1.52761393,1.30166704,4.9542832,3.95710874,0.6453163,0.493644741,0.097940811,0.600235993,0.0
0.0,-3.08539492,-1.527491,1.30043728,4.94725944,3.9608593,0.64537686,0.494990498,0.094063801,0.601204914,0.0
0.0,-3.09374291,-1.52725984,1.29915125,4.94065047,3.96469974,0.64531291,0.496308974,0.090235323,0.602105027,0.0
0.0,-3.10207731,-1.52716388,1.29792911,4.93420549,3.96853089,0.64535439,0.497524119,0.086395648,0.60303143,0.0
0.0,-3.11044866,-1.52695074,1.29674226,4.92758797,3.97240996,0.64535332,0.498775066,0.082529971,0.603901375,0.0
0.0,-3.11888868,-1.5267902,1.29547245,4.92069251,3.97630143,0.64533359,0.49999429,0.07861696,0.60487036,0.0
0.0,-3.12715823,-1.52654417,1.29423649,4.91359158,3.98018003,0.64530867,0.501220457,0.074775494,0.6058075,0.0
0.0,-3.13548357,-1.52637752,1.29306585,4.90704854,3.98403883,0.64534569,0.502345083,0.070890017,0.606702763,0.0
0.0,-3.14397675,-1.52623786,1.29185039,4.90064547,3.98787999,0.6454106,0.503425754,0.066906185,0.607625214,0.0
0.0,-3.15232712,-1.52602475,1.29062683,4.89391068,3.99160671,0.64535332,0.504518569,0.062973129,0.60856154,0.0
0.0,-3.16073329,-1.52584005,1.28942186,4.8868002,3.99543071,0.64533704,0.505595211,0.059006421,0.609541231,0.0
0.0,-3.16916186,-1.525603,1.28820593,4.88010641,3.99929953,0.64538974,0.5066339,0.055019023,0.610458976,0.0
0.0,-3.17752964,-1.5254636,1.28693372,4.87367167,4.00318813,0.64534569,0.507572869,0.051053934,0.611430176,0.0
0.0,-3.18585211,-1.52530904,1.28573209,4.867159,4.00704288,0.6453619,0.508489579,0.047098002,0.612374943,0.0
0.0,-3.19419486,-1.52507491,1.28444273,4.86023146,4.01104879,0.64532918,0.509436177,0.043129375,0.613361722,0.0
0.0,-3.20252592,-1.52491147,1.28324014,4.85315396,4.01490498,0.64538246,0.510326983,0.039145484,0.614373313,0.0
0.0,-3.21101767,-1.52477616,1.28195984,4.84659191,4.0186944,0.64536953,0.511139591,0.03506691,0.615391694,0.0
0.0,-3.21937639,-1.5245888,1.28062422,4.84007856,4.02250433,0.64535761,0.511931402,0.031046639,0.616409313,0.0
0.0,-3.22779423,-1.52448216,1.27930338,4.83347751,4.02620029,0.64534569,0.512657873,0.026980596,0.617482615,0.0
0.0,-3.23621232,-1.52430657,1.27798349,4.82657249,4.03000879,0.64537388,0.513400784,0.022909411,0.618551725,0.0
0.0,-3.24456817,-1.52406047,1.276676,4.81964117,4.03372717,0.64533287,0.514139122,0.018850535,0.619592871,0.0
0.0,-3.25287205,-1.52389083,1.27534134,4.81314003,4.03766203,0.6453414,0.514782414,0.014832205,0.620631044,0.0
0.0,-3.26121814,-1.52378153,1.27406818,4.80661156,4.04156399,0.6453163,0.515367205,0.010784541,0.621680122,0.0
0.0,-3.26964099,-1.52358781,1.27278692,4.79981838,4.04550886,0.64533704,0.515972443,0.006686254,0.622722082,0.0
0.0,-3.27807767,-1.52335676,1.27146513,4.79279672,4.04931164,0.64532918,0.516567819,0.002558131,0.623804455,0.0
0.0,-3.28643257,-1.52322002,1.27019483,4.78598531,4.05309105,0.64530861,0.517072136,-0.001529736,0.624893178,0.0
0.0,-3.29477078,-1.52301911,1.26893789,4.7794921,4.05687475,0.64536631,0.517551781,-0.005617345,0.625911687,0.0
0.0,-3.30315811,-1.52287193,1.26773245,4.77303395,4.06080627,0.6453414,0.5179742,-0.009721797,0.626924601,0.0
0.0,-3.31147081,-1.52270384,1.26650888,4.76613948,4.06462765,0.6453619,0.518392703,-0.013807461,0.62799687,0.0
0.0,-3.31983597,-1.52247432,1.26528675,4.75906382,4.06853723,0.6453619,0.518814817,-0.017926552,0.629057744,0.0
0.0,-3.32826072,-1.52228217,1.26402122,4.75252768,4.07248068,0.64537382,0.519150853,-0.022071346,0.630100973,0.0
0.0,-3.33669883,-1.52211856,1.26284057,4.74613894,4.07628345,0.6453414,0.519428429,-0.026235558,0.631113216,0.0
0.0,-3.34508163,-1.5219595,1.2616213,4.73946292,4.08010721,0.64537811,0.519683148,-0.030376381,0.632183712,0.0
0.0,-3.35344512,-1.52176583,1.26042587,4.73252751,4.08386803,0.6453414,0.519930511,-0.034522809,0.633263364,0.0
0.0,-3.36186868,-1.52154681,1.25919038,4.72552343,4.08766031,0.64537054,0.520152614,-0.038705567,0.634361219,0.0
0.0,-3.37033517,-1.52138178,1.25799829,4.71901151,4.09143305,0.6453371,0.520286029,-0.042905388,0.635414255,0.0
0.0,-3.37855465,-1.5212466,1.25679189,4.71255363,4.09523678,0.64532483,0.520377197,-0.046973453,0.636486561,0.0
0.0,-3.38698489,-1.5210771,1.2555154,4.70576398,4.09913349,0.64538121,0.520454117,-0.051153939,0.637614694,0.0
0.0,-3.39531619,-1.5209362,1.25430614,4.69868438,4.10314035,0.64537811,0.520506995,-0.055278273,0.638757721,0.0
0.0,-3.40369279,-1.52070192,1.25303489,4.69192855,4.10699415,0.64537388,0.520538477,-0.059446562,0.63985853,0.0
0.0,-3.41200549,-1.52055347,1.25174696,4.68543403,4.11083603,0.64534563,0.520483016,-0.063570208,0.64098665,0.0
0.0,-3.42048055,-1.5203283,1.25051672,4.67895381,4.1146493,0.64534908,0.520416403,-0.067792452,0.642050889,0.0
0.0,-3.42887146,-1.52014972,1.24919159,4.67214124,4.11847162,0.64532053,0.520306669,-0.071968105,0.643230741,0.0
0.0,-3.43730218,-1.52003559,1.24788791,4.66502254,4.12225914,0.6453371,0.520139531,-0.076162949,0.644477247,0.0
0.0,-3.44553501,-1.51976402,1.24654943,4.6583883,4.12603474,0.64530867,0.519997768,-0.080271355,0.64560644,0.0
0.0,-3.45391423,-1.51965893,1.24525816,4.65191953,4.12991381,0.64534908,0.519729925,-0.084422541,0.646778016,0.0
0.0,-3.46240527,-1.51942791,1.24396354,4.64535443,4.13377619,0.64536959,0.519475828,-0.088652454,0.647903002,0.0
0.0,-3.47071583,-1.51924786,1.24265319,4.63833396,4.1377511,0.64534908,0.519199373,-0.092777786,0.649117097,0.0
0.0,-3.47904641,-1.51906788,1.24131662,4.63144032,4.14154387,0.64538974,0.518868009,-0.096923185,0.650343207,0.0
0.0,-3.48750288,-1.51897922,1.24004251,4.62496488,4.14533424,0.64531297,0.518430576,-0.101112561,0.651539268,0.0
0.0,-3.49593503,-1.51875714,1.23879081,4.61845605,4.14906359,0.64540195,0.518018395,-0.105314484,0.652666137,0.0
0.0,-3.5041855,-1.51858603,1.23752434,4.61160533,4.15288353,0.64537054,0.517580782,-0.10940917,0.653869381,0.0
0.0,-3.51260406,-1.51838494,1.23630172,4.60464017,4.15664959,0.64537382,0.517104896,-0.113599817,0.655056595,0.0
0.0,-3.52095396,-1.518196,1.23506338,4.59788816,4.16062355,0.6453653,0.516593994,-0.117731486,0.656226128,0.0
0.0,-3.52934581,-1.51806072,1.23377735,4.5913469,4.16456604,0.64534569,0.516003293,-0.121869223,0.657427563,0.0
0.0,-3.53769476,-1.5178897,1.23255474,4.5848128,4.16849136,0.64534908,0.515399563,-0.125990066,0.658582925,0.0
0.0,-3.54607541,-1.51764235,1.2313841,4.57801978,4.17234039,0.64535332,0.514797485,-0.13014828,0.659712798,0.0
0.0,-3.55449111,-1.51757316,1.23023016,4.57103078,4.17610168,0.64539403,0.514074051,-0.134293903,0.660961115,0.0
0.0,-3.56283647,-1.51735842,1.22898132,4.56432407,4.17987347,0.64535332,0.513372696,-0.138419475,0.662149051,0.0
0.0,-3.57119018,-1.51718135,1.2277487,4.55790107,4.18362951,0.64537382,0.512606197,-0.142533638,0.663317655,0.0
0.0,-3.57958514,-1.51696828,1.22656805,4.55125062,4.18748712,0.64536953,0.511828803,-0.1466684,0.664469638,0.0
0.0,-3.58802706,-1.5167868,1.22534448,4.54432218,4.19134474,0.6453619,0.510997159,-0.150816518,0.665699587,0.0
0.0,-3.59634263,-1.51659913,1.22408468,4.53735511,4.19524479,0.64535761,0.510149878,-0.154890883,0.666952042,0.0
0.0,-3.6047526,-1.516398,1.22287923,4.53081958,4.19921827,0.64532489,0.509251801,-0.159000328,0.668115913,0.0
0.0,-3.6132229,-1.51621365,1.22162754,4.52429883,4.20305491,0.64533293,0.508286578,-0.163136345,0.669320161,0.0
